名字,期刊,ISSN,EISSN,最新IF ,5年IF,JCR分区,中科院分区,中科院预警,,,,,,
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,PROG PART NUCL PHYS,0146-6410,1873-2224,14.5,13.2,Q1,,,,,,,,
Journal of the American Chemical Society,J AM CHEM SOC,0002-7863,1520-5126,14.4,14.8,Q1,,,,,,,,
Biofuel Research Journal-BRJ,BIOFUEL RES J,2292-8782,2292-8782,14.4,10,Q1,,,,,,,,
Annual Review of Organizational Psychology and Organizational Behavior,ANNU REV ORGAN PSYCH,2327-0608,2327-0616,14.3,24.4,Q1,,,,,,,,
Academy of Management Annals,ACAD MANAG ANN,1941-6520,1941-6067,14.3,25.1,Q1,,,,,,,,
JOURNAL OF INFECTION,J INFECTION,0163-4453,1532-2742,14.3,12.2,Q1,,,,,,,,
Bone Research,BONE RES,2095-4700,2095-6231,14.3,14.8,Q1,,,,,,,,
EDUCATIONAL PSYCHOLOGIST,EDUC PSYCHOL-US,0046-1520,1532-6985,14.3,15.1,Q1,,,,,,,,
Annual Review of Marine Science,ANNU REV MAR SCI,1941-1405,1941-0611,14.3,15.5,Q1,,,,,,,,
Trends in Cancer,TRENDS CANCER,2405-8025,2405-8033,14.3,17.1,Q1,,,,,,,,
Advanced Science,ADV SCI,N/A,2198-3844,14.3,16.3,Q1,,,,,,,,
TRENDS IN BIOTECHNOLOGY,TRENDS BIOTECHNOL,0167-7799,1879-3096,14.3,16.8,Q1,,,,,,,,
Annual Review of Condensed Matter Physics,ANNU REV CONDEN MA P,1947-5454,1947-5462,14.3,18.5,Q1,,,,,,,,
STUDIES IN MYCOLOGY,STUD MYCOL,0166-0616,1872-9797,14.1,17.7,Q1,,,,,,,,
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,INT J MACH TOOL MANU,0890-6955,1879-2170,14,11.7,Q1,,,,,,,,
Accounts of Materials Research,ACCOUNTS MATER RES,N/A,2643-6728,14,14.1,Q1,,,,,,,,
IEEE Transactions on Intelligent Vehicles,IEEE T INTELL VEHICL,2379-8858,2379-8904,14,11.2,Q1,,,,,,,,
Clinical and Molecular Hepatology,CLIN MOL HEPATOL,2287-2728,2287-285X,14,9.6,Q1,,,,,,,,
Environmental Science and Ecotechnology,ENVIRON SCI ECOTECH,2666-4984,2666-4984,14,13.2,Q1,,,,,,,,
Journal of Energy Chemistry,J ENERGY CHEM,2095-4956,2095-4956,14,12.3,Q1,,,,,,,,
PROGRESS IN LIPID RESEARCH,PROG LIPID RES,0163-7827,1873-2194,14,15.7,Q1,,,,,,,,
TRENDS IN MICROBIOLOGY,TRENDS MICROBIOL,0966-842X,1878-4380,14,17,Q1,,,,,,,,
Trends in Chemistry,TRENDS CHEM,N/A,2589-5974,14,17.7,Q1,,,,,,,,
Nature Ecology & Evolution,NAT ECOL EVOL,2397-334X,2397-334X,13.9,16.5,Q1,,,,,,,,
TRENDS IN PHARMACOLOGICAL SCIENCES,TRENDS PHARMACOL SCI,0165-6147,1873-3735,13.9,14.3,Q1,,,,,,,,
Small Structures,SMALL STRUCT,N/A,2688-4062,13.9,13.7,Q1,,,,,,,,
Aggregate,AGGREGATE,N/A,2692-4560,13.9,14.9,Q1,,,,,,,,
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,IEEE J SEL AREA COMM,0733-8716,1558-0008,13.8,13.1,Q1,,,,,,,,
Microbiome,MICROBIOME,2049-2618,2049-2618,13.8,17.9,Q1,,,,,,,,
CLINICAL PSYCHOLOGY REVIEW,CLIN PSYCHOL REV,0272-7358,1873-7811,13.7,15.3,Q1,,,,,,,,
CELL DEATH AND DIFFERENTIATION,CELL DEATH DIFFER,1350-9047,1476-5403,13.7,13.7,Q1,,,,,,,,
Physics of Life Reviews,PHYS LIFE REV,1571-0645,1873-1457,13.7,11.3,Q1,,,,,,,,
Lancet Regional Health-Europe,LANCET REG HEALTH-EU,2666-7762,2666-7762,13.6,13.6,Q1,,,,,,,,
Energy Economics,ENERG ECON,0140-9883,1873-6181,13.6,12.4,Q1,,,,,,,,
TRENDS IN GENETICS,TRENDS GENET,0168-9525,1362-4555,13.6,11.9,Q1,,,,,,,,
Protein & Cell,PROTEIN CELL,1674-800X,1674-8018,13.6,17.7,Q1,,,,,,,,
Lancet Healthy Longevity,LANCET HEALTH LONGEV,2666-7568,2666-7568,13.4,13.8,Q1,,,,,,,,
Nano Convergence,NANO CONVERG,2196-5404,2196-5404,13.4,10.7,Q1,,,,,,,,
JOURNAL OF CLINICAL INVESTIGATION,J CLIN INVEST,0021-9738,1558-8238,13.3,14.6,Q1,,,,,,,,
Chemical Engineering Journal,CHEM ENG J,1385-8947,1873-3212,13.3,13.2,Q1,,,,,,,,
Computer Science Review,COMPUT SCI REV,1574-0137,1876-7745,13.3,13.3,Q1,,,,,,,,
Nano Today,NANO TODAY,1748-0132,1878-044X,13.2,14.6,Q1,,,,,,,,
OPHTHALMOLOGY,OPHTHALMOLOGY,0161-6420,1549-4713,13.1,12.4,Q1,,,,,,,,
Nature Protocols,NAT PROTOC,1754-2189,1750-2799,13.1,17.4,Q1,,,,,,,,
Biochar,BIOCHAR,2524-7972,2524-7867,13.1,14.4,Q1,,,,,,,,
TRENDS IN IMMUNOLOGY,TRENDS IMMUNOL,1471-4906,1471-4981,13.1,16,Q1,,,,,,,,
Alzheimers & Dementia,ALZHEIMERS DEMENT,1552-5260,1552-5279,13,16,Q1,,,,,,,,
DRUGS,DRUGS,0012-6667,1179-1950,13,11.4,Q1,,,,,,,,
Journal of Ocean Engineering and Science,J OCEAN ENG SCI,2468-0133,2468-0133,13,8.5,Q1,,,,,,,,
Cell Discovery,CELL DISCOV,N/A,2056-5968,13,14.8,Q1,,,,,,,,
Small,SMALL,1613-6810,1613-6829,13,13.5,Q1,,,,,,,,
Energy & Environmental Materials,ENERGY ENVIRON MATER,N/A,2575-0356,13,14.1,Q1,,,,,,,,
Advances in Applied Energy,ADV APPL ENERGY,2666-7924,2666-7924,13,13.1,Q1,,,,,,,,
TRENDS IN CELL BIOLOGY,TRENDS CELL BIOL,0962-8924,1879-3088,13,19.5,Q1,,,,,,,,
HEPATOLOGY,HEPATOLOGY,0270-9139,1527-3350,12.9,15.5,Q1,,,,,,,,
Nature Astronomy,NAT ASTRON,2397-3366,2397-3366,12.9,12.8,Q1,,,,,,,,
Nature Chemical Biology,NAT CHEM BIOL,1552-4450,1552-4469,12.9,14.7,Q1,,,,,,,,
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,TECHNOL FORECAST SOC,0040-1625,1873-5509,12.9,13,Q1,,,,,,,,
Blood Cancer Journal,BLOOD CANCER J,2044-5385,2044-5385,12.9,11,Q1,,,,,,,,
Med,MED-CAMBRIDGE,2666-6340,2666-6340,12.8,12.6,Q1,,,,,,,,
JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,J AM ACAD DERMATOL,0190-9622,1097-6787,12.8,11.5,Q1,,,,,,,,
JACC-Cardiovascular Imaging,JACC-CARDIOVASC IMAG,1936-878X,1876-7591,12.8,13.4,Q1,,,,,,,,
BIOMATERIALS,BIOMATERIALS,0142-9612,1878-5905,12.8,13.1,Q1,,,,,,,,
Lancet HIV,LANCET HIV,2352-3018,2352-3018,12.8,11.8,Q1,,,,,,,,
LEUKEMIA,LEUKEMIA,0887-6924,1476-5551,12.8,10.5,Q1,,,,,,,,
TRENDS IN MOLECULAR MEDICINE,TRENDS MOL MED,1471-4914,1471-499X,12.8,13.7,Q1,,,,,,,,
Annual Review of Biomedical Engineering,ANNU REV BIOMED ENG,1523-9829,1545-4274,12.8,13.2,Q1,,,,,,,,
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,J PHOTOCH PHOTOBIO C,1389-5567,1873-2739,12.8,14.9,Q1,,,,,,,,
COMPOSITES PART B-ENGINEERING,COMPOS PART B-ENG,1359-8368,1879-1069,12.7,11.1,Q1,,,,,,,,
ACS Central Science,ACS CENTRAL SCI,2374-7943,2374-7951,12.7,15.8,Q1,,,,,,,,
JOURNAL OF EXPERIMENTAL MEDICINE,J EXP MED,0022-1007,1540-9538,12.6,14.1,Q1,,,,,,,,
ALLERGY,ALLERGY,0105-4538,1398-9995,12.6,11.8,Q1,,,,,,,,
Nano Materials Science,NANO MATER SCI,2096-6482,2589-9651,12.6,12.4,Q1,,,,,,,,
Annual Review of Nutrition,ANNU REV NUTR,0199-9885,1545-4312,12.6,12.9,Q1,,,,,,,,
International Journal of Surgery,INT J SURG,1743-9191,1743-9159,12.5,8.9,Q1,,,,,,,,
Analytic Methods in Accident Research,ANAL METHODS ACCID R,2213-6657,2213-6665,12.5,12.3,Q1,,,,,,,,
NATURE STRUCTURAL & MOLECULAR BIOLOGY,NAT STRUCT MOL BIOL,1545-9993,1545-9985,12.5,13.1,Q1,,,,,,,,
Communications in Transportation Research,COMMUN TRANSP RES,2772-4247,2772-4247,12.5,12.5,Q1,,,,,,,,
Business Strategy and the Environment,BUS STRATEG ENVIRON,0964-4733,1099-0836,12.5,14,Q1,,,,,,,,
CANCER RESEARCH,CANCER RES,0008-5472,1538-7445,12.5,11.6,Q1,,,,,,,,
AGEING RESEARCH REVIEWS,AGEING RES REV,1568-1637,1872-9649,12.5,13,Q1,,,,,,,,
npj Digital Medicine,NPJ DIGIT MED,2398-6352,2398-6352,12.4,15.2,Q1,,,,,,,,
Theranostics,THERANOSTICS,1838-7640,1838-7640,12.4,12,Q1,,,,,,,,
Resources Environment and Sustainability,RESOUR ENVIRON SUST,2666-9161,2666-9161,12.4,11.9,Q1,,,,,,,,
AMERICAN PSYCHOLOGIST,AM PSYCHOL,0003-066X,1935-990X,12.3,15.5,Q1,,,,,,,,
Applied Computing and Informatics,APPL COMPUT INFORM,2634-1964,2210-8327,12.3,N/A,Q1,,,,,,,,
npj Flexible Electronics,NPJ FLEX ELECTRON,N/A,2397-4621,12.3,13,Q1,,,,,,,,
Gut Microbes,GUT MICROBES,1949-0976,1949-0984,12.2,12.3,Q1,,,,,,,,
JOURNAL OF MANUFACTURING SYSTEMS,J MANUF SYST,0278-6125,1878-6642,12.2,11.3,Q1,,,,,,,,
JOURNAL OF HAZARDOUS MATERIALS,J HAZARD MATER,0304-3894,1873-3336,12.2,11.9,Q1,,,,,,,,
Materials Horizons,MATER HORIZ,2051-6347,2051-6355,12.2,12.5,Q1,,,,,,,,
Applied Mechanics Reviews,APPL MECH REV,0003-6900,2379-0407,12.2,13.1,Q1,,,,,,,,
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,CURR OPIN SOLID ST M,1359-0286,1879-0348,12.2,13.3,Q1,,,,,,,,
RADIOLOGY,RADIOLOGY,0033-8419,N/A,12.1,13.4,Q1,,,,,,,,
SEMINARS IN CANCER BIOLOGY,SEMIN CANCER BIOL,1044-579X,1096-3650,12.1,13.2,Q1,,,,,,,,
Nature Reviews Urology,NAT REV UROL,1759-4812,1759-4820,12.1,15.2,Q1,,,,,,,,
MOLECULAR THERAPY,MOL THER,1525-0016,1525-0024,12.1,11.8,Q1,,,,,,,,
Annual Review of Neuroscience,ANNU REV NEUROSCI,0147-006X,1545-4126,12.1,14.3,Q1,,,,,,,,
Annual Review of Biochemistry,ANNU REV BIOCHEM,0066-4154,1545-4509,12.1,22.3,Q1,,,,,,,,
BIOTECHNOLOGY ADVANCES,BIOTECHNOL ADV,0734-9750,1873-1899,12.1,14.6,Q1,,,,,,,,
Nature Computational Science,NAT COMPUT SCI,N/A,2662-8457,12,12,Q1,,,,,,,,
JACC: CardioOncology,JACC-CARDIOONCOL,2666-0873,2666-0873,12,11.7,Q1,,,,,,,,
PHARMACOLOGY & THERAPEUTICS,PHARMACOL THERAPEUT,0163-7258,1879-016X,12,12.5,Q1,,,,,,,,
Materials Futures,MATER FUTURES,N/A,2752-5724,12,12,Q1,,,,,,,,
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,COMPR REV FOOD SCI F,1541-4337,1541-4337,12,15.9,Q1,,,,,,,,
Journal of Hospitality Marketing & Management,J HOSP MARKET MANAG,1936-8623,1936-8631,11.9,11.3,Q1,,,,,,,,
Applied Physics Reviews,APPL PHYS REV,1931-9401,1931-9401,11.9,16.5,Q1,,,,,,,,
GigaScience,GIGASCIENCE,2047-217X,2047-217X,11.8,9.4,Q1,,,,,,,,
TRAC-TRENDS IN ANALYTICAL CHEMISTRY,TRAC-TREND ANAL CHEM,0165-9936,1879-3142,11.8,12.7,Q1,,,,,,,,
Energy Materials,ENERGY MATER-US,N/A,2770-5900,11.8,12,Q1,,,,,,,,
International Journal of Mining Science and Technology,INT J MIN SCI TECHNO,2095-2686,2212-6066,11.7,8.4,Q1,,,,,,,,
Qualitative Psychology,QUAL PSYCHOL,2326-3601,2326-3598,11.7,N/A,Q1,,,,,,,,
JACC-Cardiovascular Interventions,JACC-CARDIOVASC INTE,1936-8798,1876-7605,11.7,10.6,Q1,,,,,,,,
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,IEEE T EVOLUT COMPUT,1089-778X,1941-0026,11.7,15.5,Q1,,,,,,,,
Science Advances,SCI ADV,2375-2548,2375-2548,11.7,13.7,Q1,,,,,,,,
IEEE Transactions on Industrial Informatics,IEEE T IND INFORM,1551-3203,1941-0050,11.7,11.4,Q1,,,,,,,,
Cell Reports Medicine,CELL REP MED,2666-3791,2666-3791,11.7,N/A,Q1,,,,,,,,
NEW ASTRONOMY REVIEWS,NEW ASTRON REV,1387-6473,1872-9630,11.7,9.7,Q1,,,,,,,,
Annual Review of Physical Chemistry,ANNU REV PHYS CHEM,0066-426X,1545-1593,11.7,14.1,Q1,,,,,,,,
BRITISH JOURNAL OF SPORTS MEDICINE,BRIT J SPORT MED,0306-3674,1473-0480,11.6,14.4,Q1,,,,,,,,
Physical Review X,PHYS REV X,2160-3308,2160-3308,11.6,12.9,Q1,,,,,,,,
Clinical Gastroenterology and Hepatology,CLIN GASTROENTEROL H,1542-3565,1542-7714,11.6,11.3,Q1,,,,,,,,
INTERNATIONAL JOURNAL OF COMPUTER VISION,INT J COMPUT VISION,0920-5691,1573-1405,11.6,14.5,Q1,,,,,,,,
Liver Cancer,LIVER CANCER,2235-1795,1664-5553,11.6,12.3,Q1,,,,,,,,
TRENDS IN BIOCHEMICAL SCIENCES,TRENDS BIOCHEM SCI,0968-0004,1362-4326,11.6,12.5,Q1,,,,,,,,
JAMA Dermatology,JAMA DERMATOL,2168-6068,2168-6084,11.5,10.6,Q1,,,,,,,,
JOURNAL OF ECONOMIC LITERATURE,J ECON LIT,0022-0515,2328-8175,11.5,15,Q1,,,,,,,,
ENDOSCOPY,ENDOSCOPY,0013-726X,1438-8812,11.5,10.1,Q1,,,,,,,,
Industrial and Organizational Psychology-Perspectives on Science and Practice,IND ORGAN PSYCHOL-US,1754-9426,1754-9434,11.5,10,Q1,,,,,,,,
GENOMICS PROTEOMICS & BIOINFORMATICS,GENOM PROTEOM BIOINF,1672-0229,2210-3244,11.5,10.3,Q1,,,,,,,,
Blood Cancer Discovery,BLOOD CANCER DISCOV,2643-3230,2643-3249,11.5,11.1,Q1,,,,,,,,
JOURNAL OF MARKETING,J MARKETING,0022-2429,1547-7185,11.5,15,Q1,,,,,,,,
Chem Catalysis,CHEM CATALYSIS,2667-1093,2667-1093,11.5,N/A,Q1,,,,,,,,
PROGRESS IN AEROSPACE SCIENCES,PROG AEROSP SCI,0376-0421,1873-1724,11.5,13.7,Q1,,,,,,,,
Progress in Energy,PROG ENERGY,N/A,2516-1083,11.5,11.7,Q1,,,,,,,,
Arthritis & Rheumatology,ARTHRITIS RHEUMATOL,2326-5191,2326-5205,11.4,11.4,Q1,,,,,,,,
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,J ALLERGY CLIN IMMUN,0091-6749,1097-6825,11.4,10.2,Q1,,,,,,,,
Journal of Advanced Research,J ADV RES,2090-1232,2090-1224,11.4,11,Q1,,,,,,,,
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,J EXP CLIN CANC RES,N/A,1756-9966,11.4,11.4,Q1,,,,,,,,
WATER RESEARCH,WATER RES,0043-1354,1879-2448,11.4,12.2,Q1,,,,,,,,
TRENDS IN ENDOCRINOLOGY AND METABOLISM,TRENDS ENDOCRIN MET,1043-2760,1879-3061,11.4,12.3,Q1,,,,,,,,
Annual Review of Cell and Developmental Biology,ANNU REV CELL DEV BI,1081-0706,1530-8995,11.4,14.7,Q1,,,,,,,,
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,CRIT REV ENV SCI TEC,1064-3389,1547-6537,11.4,14.3,Q1,,,,,,,,
ENDOCRINE PATHOLOGY,ENDOCR PATHOL,1046-3976,1559-0097,11.3,6,Q1,,,,,,,,
ACS Catalysis,ACS CATAL,2155-5435,2155-5435,11.3,12.6,Q1,,,,,,,,
Annual Review of Earth and Planetary Sciences,ANNU REV EARTH PL SC,0084-6597,1545-4495,11.3,14.2,Q1,,,,,,,,
Earth System Science Data,EARTH SYST SCI DATA,1866-3508,1866-3516,11.2,12.1,Q1,,,,,,,,
Journal of Materials Science & Technology,J MATER SCI TECHNOL,1005-0302,1941-1162,11.2,10.4,Q1,,,,,,,,
Annual Review of Control Robotics and Autonomous Systems,ANNU REV CONTR ROBOT,N/A,2573-5144,11.2,15.5,Q1,,,,,,,,
Annual Review of Pharmacology and Toxicology,ANNU REV PHARMACOL,0362-1642,1545-4304,11.2,12.9,Q1,,,,,,,,
Journal of Business Logistics,J BUS LOGIST,0735-3766,2158-1592,11.2,10.2,Q1,,,,,,,,
SLEEP MEDICINE REVIEWS,SLEEP MED REV,1087-0792,1532-2955,11.2,12.7,Q1,,,,,,,,
RESOURCES CONSERVATION AND RECYCLING,RESOUR CONSERV RECY,0921-3449,1879-0658,11.2,12.1,Q1,,,,,,,,
Annual Review of Ecology Evolution and Systematics,ANNU REV ECOL EVOL S,1543-592X,1545-2069,11.2,16,Q1,,,,,,,,
COMMUNICATIONS OF THE ACM,COMMUN ACM,0001-0782,1557-7317,11.1,17.3,Q1,,,,,,,,
QUARTERLY JOURNAL OF ECONOMICS,Q J ECON,0033-5533,1531-4650,11.1,20.8,Q1,,,,,,,,
TECHNOVATION,TECHNOVATION,0166-4972,1879-2383,11.1,12.1,Q1,,,,,,,,
Cell Genomics,CELL GENOM,2666-979X,2666-979X,11.1,N/A,Q1,,,,,,,,
REMOTE SENSING OF ENVIRONMENT,REMOTE SENS ENVIRON,0034-4257,1879-0704,11.1,12.7,Q1,,,,,,,,
Trends in Environmental Analytical Chemistry,TRENDS ENVIRON ANAL,2214-1588,2214-1588,11.1,11,Q1,,,,,,,,
Small Science,SMALL SCI,2688-4046,2688-4046,11.1,11.2,Q1,,,,,,,,
Polymer Reviews,POLYM REV,1558-3724,1558-3716,11.1,14.2,Q1,,,,,,,,
Statistics Surveys,STAT SURV,1935-7516,1935-7516,11,7.4,Q1,,,,,,,,
BRITISH JOURNAL OF DERMATOLOGY,BRIT J DERMATOL,0007-0963,1365-2133,11,9.4,Q1,,,,,,,,
BIOLOGICAL REVIEWS,BIOL REV,1464-7931,1469-185X,11,13.8,Q1,,,,,,,,
MOLECULAR BIOLOGY AND EVOLUTION,MOL BIOL EVOL,0737-4038,1537-1719,11,14.5,Q1,,,,,,,,
Journal of Retailing and Consumer Services,J RETAIL CONSUM SERV,0969-6989,1873-1384,11,11.2,Q1,,,,,,,,
FOOD HYDROCOLLOIDS,FOOD HYDROCOLLOID,0268-005X,1873-7137,11,11.3,Q1,,,,,,,,
Tourism Management,TOURISM MANAGE,0261-5177,1879-3193,10.9,11.5,Q1,,,,,,,,
IEEE WIRELESS COMMUNICATIONS,IEEE WIREL COMMUN,1536-1284,1558-0687,10.9,11.1,Q1,,,,,,,,
CLINICAL MICROBIOLOGY AND INFECTION,CLIN MICROBIOL INFEC,1198-743X,1469-0691,10.9,9.3,Q1,,,,,,,,
Sustainable Production and Consumption,SUSTAIN PROD CONSUMP,2352-5509,2352-5509,10.9,10.3,Q1,,,,,,,,
CEMENT AND CONCRETE RESEARCH,CEMENT CONCRETE RES,0008-8846,1873-3948,10.9,14.4,Q1,,,,,,,,
MEDICINAL RESEARCH REVIEWS,MED RES REV,0198-6325,1098-1128,10.9,12.9,Q1,,,,,,,,
International Journal of Oral Science,INT J ORAL SCI,1674-2818,2049-3169,10.8,11.7,Q1,,,,,,,,
SIAM REVIEW,SIAM REV,0036-1445,1095-7200,10.8,11.3,Q1,,,,,,,,
ISME Journal,ISME J,1751-7362,1751-7370,10.8,11.8,Q1,,,,,,,,
GLOBAL CHANGE BIOLOGY,GLOBAL CHANGE BIOL,1354-1013,1365-2486,10.8,13,Q1,,,,,,,,
Translational Neurodegeneration,TRANSL NEURODEGENER,2047-9158,2047-9158,10.8,11.6,Q1,,,,,,,,
METABOLISM-CLINICAL AND EXPERIMENTAL,METABOLISM,0026-0495,1532-8600,10.8,10.6,Q1,,,,,,,,
IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE T IMAGE PROCESS,1057-7149,1941-0042,10.8,12.1,Q1,,,,,,,,
EARTH-SCIENCE REVIEWS,EARTH-SCI REV,0012-8252,1872-6828,10.8,13,Q1,,,,,,,,
CEMENT & CONCRETE COMPOSITES,CEMENT CONCRETE COMP,0958-9465,1873-393X,10.8,11.2,Q1,,,,,,,,
ENVIRONMENTAL SCIENCE & TECHNOLOGY,ENVIRON SCI TECHNOL,0013-936X,1520-5851,10.8,11.6,Q1,,,,,,,,
ACTA PHYSICO-CHIMICA SINICA,ACTA PHYS-CHIM SIN,1000-6818,N/A,10.8,5.5,Q1,,,,,,,,
IEEE TRANSACTIONS ON FUZZY SYSTEMS,IEEE T FUZZY SYST,1063-6706,1941-0034,10.7,9.7,Q1,,,,,,,,
MEDICAL IMAGE ANALYSIS,MED IMAGE ANAL,1361-8415,1361-8423,10.7,11.9,Q1,,,,,,,,
DEVELOPMENTAL CELL,DEV CELL,1534-5807,1878-1551,10.7,11.5,Q1,,,,,,,,
BIOSENSORS & BIOELECTRONICS,BIOSENS BIOELECTRON,0956-5663,1873-4235,10.7,9.9,Q1,,,,,,,,
Carbohydrate Polymers,CARBOHYD POLYM,0144-8617,1879-1344,10.7,10.2,Q1,,,,,,,,
Asian Journal of Pharmaceutical Sciences,ASIAN J PHARM SCI,1818-0876,1818-0876,10.7,9,Q1,,,,,,,,
Redox Biology,REDOX BIOL,2213-2317,2213-2317,10.7,11.7,Q1,,,,,,,,
MedComm,MEDCOMM,N/A,2688-2663,10.7,9.7,Q1,,,,,,,,
Green Energy & Environment,GREEN ENERGY ENVIRON,2096-2797,2468-0257,10.7,10.1,Q1,,,,,,,,
ARTIFICIAL INTELLIGENCE REVIEW,ARTIF INTELL REV,0269-2821,1573-7462,10.7,11.7,Q1,,,,,,,,
Journal of Materials Chemistry A,J MATER CHEM A,2050-7488,2050-7496,10.7,10.8,Q1,,,,,,,,
EcoMat,ECOMAT,N/A,2567-3173,10.7,12.3,Q1,,,,,,,,
Small Methods,SMALL METHODS,2366-9608,2366-9608,10.7,12.1,Q1,,,,,,,,
BRAIN,BRAIN,0006-8950,1460-2156,10.6,12.5,Q1,,,,,,,,
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,ISPRS J PHOTOGRAMM,0924-2716,1872-8235,10.6,11.8,Q1,,,,,,,,
JOURNAL OF NANOBIOTECHNOLOGY,J NANOBIOTECHNOL,N/A,1477-3155,10.6,11.4,Q1,,,,,,,,
Molecular Horticulture,MOL HORTIC,2730-9401,2730-9401,10.6,10.6,Q1,,,,,,,,
Annual Review of Food Science and Technology,ANNU REV FOOD SCI T,1941-1413,1941-1421,10.6,13.7,Q1,,,,,,,,
Annual Review of Materials Research,ANNU REV MATER RES,1531-7331,1545-4118,10.6,13.5,Q1,,,,,,,,
AMERICAN ECONOMIC REVIEW,AM ECON REV,0002-8282,1944-7981,10.5,15.3,Q1,,,,,,,,
Perspectives on Psychological Science,PERSPECT PSYCHOL SCI,1745-6916,1745-6924,10.5,12.5,Q1,,,,,,,,
JAMA Network Open,JAMA NETW OPEN,2574-3805,2574-3805,10.5,11,Q1,,,,,,,,
International Journal of Transgender Health,INT J TRANSGEND HEAL,2689-5269,2689-5277,10.5,8.7,Q1,,,,,,,,
PLOS MEDICINE,PLOS MED,1549-1277,1549-1676,10.5,11.3,Q1,,,,,,,,
Journal of Business Research,J BUS RES,0148-2963,1873-7978,10.5,11.2,Q1,,,,,,,,
JOURNAL OF CONTROLLED RELEASE,J CONTROL RELEASE,0168-3659,1873-4995,10.5,10.6,Q1,,,,,,,,
Sustainable Cities and Society,SUSTAIN CITIES SOC,2210-6707,2210-6715,10.5,10,Q1,,,,,,,,
Cyborg and Bionic Systems,CYBORG BIONIC SYST,N/A,2692-7632,10.5,10.7,Q1,,,,,,,,
CARBON,CARBON,0008-6223,1873-3891,10.5,9.2,Q1,,,,,,,,
ANNALS OF TOURISM RESEARCH,ANN TOURISM RES,0160-7383,1873-7722,10.4,11.2,Q1,,,,,,,,
Genome Medicine,GENOME MED,1756-994X,1756-994X,10.4,12.6,Q1,,,,,,,,
JOURNAL OF FINANCIAL ECONOMICS,J FINANC ECON,0304-405X,N/A,10.4,11.4,Q1,,,,,,,,
Journal of Industrial Information Integration,J IND INF INTEGR,2467-964X,2452-414X,10.4,10.5,Q1,,,,,,,,
Pulmonology,PULMONOLOGY,2531-0437,2531-0437,10.4,6.9,Q1,,,,,,,,
Annual Review of Biophysics,ANNU REV BIOPHYS,1936-122X,1936-1238,10.4,12.3,Q1,,,,,,,,
Science China-Chemistry,SCI CHINA CHEM,1674-7291,1869-1870,10.4,7.9,Q1,,,,,,,,
npj Clean Water,NPJ CLEAN WATER,2059-7037,2059-7037,10.4,12.2,Q1,,,,,,,,
Carbon Capture Science & Technology,CARBON CAPTURE SCI T,2772-6568,2772-6568,10.4,N/A,Q1,,,,,,,,
JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,J AM SOC NEPHROL,1046-6673,1533-3450,10.3,10.5,Q1,,,,,,,,
JACC-Heart Failure,JACC-HEART FAIL,2213-1779,2213-1787,10.3,12.1,Q1,,,,,,,,
Journal for ImmunoTherapy of Cancer,J IMMUNOTHER CANCER,N/A,2051-1426,10.3,11.6,Q1,,,,,,,,
Additive Manufacturing,ADDIT MANUF,2214-8604,2214-7810,10.3,12.4,Q1,,,,,,,,
ENVIRONMENT INTERNATIONAL,ENVIRON INT,0160-4120,1873-6750,10.3,11.1,Q1,,,,,,,,
IEEE Computational Intelligence Magazine,IEEE COMPUT INTELL M,1556-603X,1556-6048,10.3,11.2,Q1,,,,,,,,
CARDIOVASCULAR RESEARCH,CARDIOVASC RES,0008-6363,1755-3245,10.2,10.6,Q1,,,,,,,,
IEEE Transactions on Neural Networks and Learning Systems,IEEE T NEUR NET LEAR,2162-237X,2162-2388,10.2,10.4,Q1,,,,,,,,
Journal of Supply Chain Management,J SUPPLY CHAIN MANAG,1523-2409,1745-493X,10.2,10.2,Q1,,,,,,,,
Virtual and Physical Prototyping,VIRTUAL PHYS PROTOTY,1745-2759,1745-2767,10.2,10.2,Q1,,,,,,,,
NATURAL PRODUCT REPORTS,NAT PROD REP,0265-0568,1460-4752,10.2,11.2,Q1,,,,,,,,
Journal of High Energy Astrophysics,J HIGH ENERGY ASTROP,2214-4048,2214-4056,10.2,7.7,Q1,,,,,,,,
TECHNOLOGY IN SOCIETY,TECHNOL SOC,0160-791X,1879-3274,10.1,9.6,Q1,,,,,,,,
Engineering,ENGINEERING-PRC,2095-8099,2096-0026,10.1,11.6,Q1,,,,,,,,
